ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"89.237.34.193","elite","AS20485","RU","multi-origin SUTTK","74","N/A","51549","socks4","5000","1","2023-10-13T14:58:30.886Z","99","4321","4372"
"159.192.233.69","elite","AS131090","TH","CAT-BB","284","N/A","4145","socks5","5094","1","2023-10-13T14:58:30.884Z","77","3362","4345"
"203.113.117.49","elite","AS131293","TH","TOT Public Company Limited","207","TOT Public Company Limited","4153","socks4","2900","1","2023-10-13T14:58:30.882Z","98","4308","4375"
"168.227.158.33","elite","AS52898","BR","Multipla Serviços Inteligentes","203","Multipla Serviços Inteligentes","4145","socks4","4911","1","2023-10-13T14:58:30.887Z","100","4370","4391"
"88.119.49.4","elite","AS8764","LT","Telia Lietuva, AB","37","Telia Lietuva, AB","4153","socks4","3490","1","2023-10-13T14:58:30.885Z","100","4386","4388"
"113.74.26.114","elite","AS4134","CN","Chinanet","215","Chinanet GD","4145","socks4","4002","1","2023-10-13T14:58:21.178Z","83","3579","4327"
"103.115.255.129","elite","AS137868","BD","Star Internet Service","285","Md. Murad Hossain Ripon","36331","socks4","4598","1","2023-10-13T14:58:21.178Z","98","4229","4314"
"45.126.169.193","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","283","NET 4 U Services PVT LTD","4145","socks4","4804","1","2023-10-13T14:58:11.585Z","99","4293","4318"
"23.225.129.130","elite","AS132839","US","POWER LINE (HK) CO., LIMITED","285","CloudRadium L.L.C","39877","socks5","4483","2","2023-10-13T14:58:11.588Z","99","4275","4336"
"171.241.47.172","elite","AS7552","VN","Viettel Corporation","276","VIETEL","4007","socks4","4998","80","2023-10-13T14:58:11.588Z","83","3524","4229"
"103.51.46.251","elite","AS133819","ID","CIM","198","N/A","13381","socks5","3594","1","2023-10-13T14:58:11.587Z","97","4238","4352"
"213.157.243.196","elite","AS21283","SI","A1 Slovenija","29","A1 Slovenija telekomunikacijske storitve, d.d.","5678","socks4","4800","1","2023-10-13T14:58:11.683Z","76","3288","4347"
"50.47.75.211","elite","AS20055","US","Wholesail networks LLC","149","Ziply Fiber","5678","socks4","4705","1","2023-10-13T14:58:11.586Z","98","4221","4312"
"85.100.40.12","elite","AS47331","TR","TurkTelecom","67","Turk Telekomunikasyon A.S","5678","socks4","4809","1","2023-10-13T14:58:01.986Z","98","4275","4378"
"36.67.14.193","elite","AS7713","ID","PT. Telekomunikasi Indonesia","289","N/A","5678","socks4","2709","1","2023-10-13T14:58:01.983Z","99","4266","4299"
"80.59.233.178","elite","AS3352","ES","Telefonica de Espana SAU","24","RIMA (Red IP Multi Acceso)","60008","socks4","3294","1","2023-10-13T14:58:01.980Z","100","4330","4337"
"119.82.226.232","elite","AS24213","ID","Arsen Kusuma Indonesia","191","N/A","7497","socks5","1321","1","2023-10-13T14:58:01.983Z","99","4303","4361"
"41.60.233.182","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","175","Liquid Telecommunications Operations Limited","5678","socks4","3886","1","2023-10-13T14:58:01.984Z","87","3808","4371"
"43.157.53.134","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","84","Tencent Cloud Computing","443","socks4","3687","1","2023-10-13T14:58:01.985Z","83","3589","4336"
"104.24.15.158","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4603","1","2023-10-13T14:57:52.478Z","100","4371","4374"
"188.138.179.13","elite","AS31252","MD","StarNet Solutii SRL","87","SC Starnet SRL","4153","socks4","4702","84","2023-10-13T14:57:52.389Z","85","3709","4359"
"168.227.158.13","elite","AS52898","BR","Multipla Serviços Inteligentes","203","Multipla Serviços Inteligentes","4145","socks4","4607","1","2023-10-13T14:57:52.475Z","99","4300","4328"
"95.217.52.14","elite","AS24940","FI","Hetzner Online GmbH","38","HETZNER-DC","55445","socks5","2704","1","2023-10-13T14:57:42.678Z","100","4329","4331"
"181.196.247.162","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","186","Corporacion Nacional De Telecomunicaciones - CNT EP","45974","socks4","5000","1","2023-10-13T14:57:42.495Z","31","1356","4400"
