ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"182.253.154.72","elite","AS17451","ID","BIZNET","198","N/A","4145","socks4","5009","1","2023-10-13T14:54:56.893Z","94","4103","4360"
"187.95.82.38","elite","AS262696","BR","Turbonet Telecomunicações","198","Turbonet Telecomunicações","3629","socks4","4394","1","2023-10-13T14:54:56.893Z","97","4281","4393"
"172.104.47.98","elite","AS63949","SG","Akamai Technologies","170","Linode","34503","socks4","4094","84","2023-10-13T14:54:56.892Z","99","4313","4348"
"8.210.62.161","elite","AS45102","HK","Alibaba.com LLC","299","Hong Kong","10020","socks4","791","1","2023-10-13T14:54:47.489Z","97","4165","4301"
"103.132.124.18","elite","AS138124","ID","Universitas Samudra","167","Universitas Samudra","5678","socks4","3714","78","2023-10-13T14:54:47.586Z","96","4212","4384"
"203.34.28.166","elite","AS209242","VG","Cloudflare London, LLC","19","Anaga Consulting Limited","80","socks4","3504","1","2023-10-13T14:54:47.489Z","100","4262","4263"
"221.2.84.42","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","297","Feixian ShiFan College","10800","socks4","2997","1","2023-10-13T14:54:47.490Z","87","3760","4329"
"114.9.16.50","elite","AS4761","ID","PT. INDOSAT Tbk","198","PT. INDOSAT Tbk","5678","socks4","4901","1","2023-10-13T14:54:47.488Z","100","4363","4383"
"106.113.188.185","elite","AS4134","CN","Chinanet","280","Chinanet HE","8089","socks5","2096","1","2023-10-13T14:54:47.489Z","42","1757","4206"
"129.226.212.217","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","394","Aceville Pte.ltd","443","socks5","5090","1","2023-10-13T14:54:38.076Z","87","3806","4367"
"84.51.0.197","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","55","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","916","1","2023-10-13T14:54:38.077Z","100","4307","4314"
"192.12.112.70","elite","AS61942","BR","Turbonet Telecom Ltda","190","Turbonet Telecom Ltda","4145","socks4","4698","1","2023-10-13T14:54:38.078Z","99","4228","4276"
"82.194.133.209","elite","AS8445","AT","SALZBURG-AG","35","Salzburg AG","4153","socks4","288","1","2023-10-13T14:54:38.089Z","95","4163","4363"
